pat_id,birth_date,death_date,ssn,drivers,passport,prefix,first,last,suffix,maiden,marital,race,ethnicity,gender,birthplace,address,prior_opioid_abuse_diag
3fcc0cfa-b925-4754-8cb4-1934ffb79796,2001-02-03,,999-11-8802,S99964353,,,Rodrigo242,Montalvo564,,,,black,dominican,M,Fergus Falls,374 Larkin Mission Suite 51 Winona Minnesota 55959 US,1
811ec494-f9ac-4889-ac93-fbc98165b2a7,2004-10-12,,999-78-7881,,,,Mohamed943,Hessel84,,,,white,english,M,Aurdalship,1001 Brekke Port Champlin Minnesota 55316 US,0
6f5d3634-049a-4a34-9ed1-8e30e5fbc597,1954-10-29,,999-50-4547,S99967176,X17645871X,Mrs.,Celestina960,Rowe323,,Frami345,M,white,irish,F,Red Wing,447 Marquardt Well Suite 95 Birch Lakeship Minnesota  US,0
e3b38695-dbce-4cc5-b852-8b638f268811,1970-10-03,,999-57-6124,S99940111,X5837259X,Mr.,Rudy520,Durgan499,,,M,white,russian,M,St. Louis Park,410 Kub Station Suite 14 Lino Lakes Minnesota 55014 US,0
5d26b13d-489f-45ba-9bd6-62e972e70acd,1958-02-13,,999-94-2223,S99989717,X28705925X,Mrs.,Noreen211,Schmitt836,,Morar593,M,asian,chinese,F,Prior Lake,117 Rutherford Well St. Paul Minnesota 55101 US,1
a25e3593-4c2e-4a1c-a3f9-f14070a1d0fb,1959-03-27,,999-87-9357,S99968576,X20243352X,Mrs.,Bernadette714,Stanton715,,Deckow585,M,white,french_canadian,F,Duluth,705 Hintz Arcade Eagan Minnesota 55120 US,0
f9beee8b-61c2-483a-b7f8-3ce041410d25,1987-07-27,,999-38-2274,S99955111,X39296692X,Mrs.,Trudi580,Runolfsson901,,Kreiger457,M,white,irish,F,Coon Rapids,351 Crist Neck Minneapolis Minnesota 55401 US,0
e7aa65c5-2111-4a54-9185-6ba428da874d,1977-11-15,1988-04-26,999-66-6159,,,,Thresa531,Konopelski743,,,,white,polish,F,Worthington,729 Stokes Union Unit 73 Rochester Minnesota 55901 US,1
86c4be0d-14ce-425d-885a-0a92b60c0c29,1986-05-25,,999-34-9235,S99943675,X23783462X,Mrs.,Antonietta855,Crona259,,O'Hara248,M,white,irish,F,Palmyraship,969 Ullrich Flat Apt 71 Solemship Minnesota  US,1
14f9f3e1-474a-4aad-8f88-911c2695eeed,2001-04-01,,999-53-2711,S99966579,,,Issac619,Bosco882,,,,white,polish,M,Faribault,729 Rodriguez Frontage road Suite 51 Inver Grove Heights Minnesota 55075 US,0
848bfb23-8f22-4a1b-8cbf-5e539b400390,1958-12-20,,999-63-6074,S99930290,X50398509X,Mrs.,Yasmine182,Goldner995,,Thompson596,M,white,portuguese,F,St. Paul,1073 Hilpert Orchard Glencoe Minnesota 55336 US,0
6faa0c89-f743-46d0-bb78-43454ed71f66,2006-06-02,,999-20-2368,,,,Suellen60,Weber641,,,,white,american,F,Bellechester,198 Kilback Boulevard Rochester Minnesota 55901 US,0
ff0c8c0a-0ffb-4b4a-9560-679c7f5be252,1954-12-21,,999-37-6228,S99959670,X20489650X,Mrs.,Jody426,Rodriguez71,,Cassin499,M,black,dominican,F,Albionship,140 Feest Crossing Apt 22 St. Paul Minnesota 55101 US,0
40e2638d-5e05-4b1c-860b-2b9b5754d8b6,1961-02-23,,999-39-1930,S99922069,X46092796X,Mrs.,Adrien235,Stiedemann542,,Rutherford999,M,white,swedish,F,Brooklyn Park,1082 Labadie Parade Two Riversship Minnesota  US,0
3539ef52-21a3-4cc4-8c72-e5ad791b77fa,2006-03-01,,999-34-7245,,,,Donte636,Roberts511,,,,white,irish,M,Lakeville,362 Jacobs Meadow Inver Grove Heights Minnesota 55075 US,0
95d5e34c-6fb2-4942-bf86-3c49a12cbc31,1994-05-01,,999-84-3609,S99947179,X58636634X,Mr.,Lonny638,Rosenbaum794,,,,asian,asian_indian,M,Litchfield,623 Hoeger Ville Unit 68 St. Paul Minnesota 55101 US,0
cfda8f7a-ea5e-4dd6-ae00-717c4e1a9987,1972-12-29,,999-28-9425,S99910034,X2002815X,Mr.,Christian753,Beahan375,,,M,white,american,M,Rosemount,780 Breitenberg Bypass Apt 32 Bloomington Minnesota 55420 US,0
a41d1f33-cbdc-4c52-ac3d-86dd522b0c93,1981-02-15,,999-16-3561,S99941218,X71316045X,Mrs.,Sharleen176,Roberts511,,Mante251,M,white,english,F,Linwoodship,746 Jacobi Rest Minneapolis Minnesota 55401 US,0
303053bc-c1ce-4378-bc8c-910b9636c09b,1980-03-01,,999-90-5765,S99930115,X70747864X,Mrs.,Mckenzie208,Schuppe920,,Rath779,M,white,scottish,F,Wabasso,819 Haag Vista Unit 25 Little Canada Minnesota 55109 US,0
b28dcaa5-b5be-4549-bcba-e94ac62c357b,1926-05-03,2013-11-04,999-38-2952,S99983318,X15744810X,Mrs.,Diana207,Zepeda235,,Alanis890,M,black,west_indian,F,Farmington,508 Tillman Crossroad Willmar Minnesota 56201 US,0
5b13e7fd-1518-4816-99f0-f74167ab469d,1979-05-13,,999-60-9210,S99910264,X77698896X,Mrs.,Carin553,Hessel84,,Aufderhar910,M,white,italian,F,Appleton,885 Zieme Parade Unit 78 Elko New Market Minnesota 55020 US,0
ef37d010-366b-49b8-9c70-8559bee471df,1975-04-27,2010-06-04,999-68-3665,S99980755,X17112350X,Mr.,Edgardo196,Kovacek682,,,M,white,american,M,Crystal,957 Hodkiewicz Trace Unit 11 Empireship Minnesota  US,0
5d53352c-cb95-47b3-893d-b6221c148d34,2004-08-19,,999-68-5914,,,,Dimple273,Watsica258,,,,white,english,F,Waite Park,605 McGlynn Promenade Unit 36 Lakeville Minnesota 55024 US,0
e9989367-b139-43cf-a6ec-59e0f26f5d16,1961-02-04,,999-91-6266,S99979959,X78931047X,Mr.,Marvin195,Thiel172,,,M,asian,chinese,M,St. Paul,740 Hermiston Vista St. Paul Minnesota 55101 US,1
5bc1bb0a-f64e-4179-96d5-639ca3602fd6,1953-05-11,2002-03-25,999-82-6918,S99943400,X83625403X,Mr.,Jason347,Wisozk929,,,M,white,french_canadian,M,Lake Sarahship,411 O'Kon Loaf Brooklyn Park Minnesota 55428 US,0
34cb8959-e7ce-4132-b4d6-144d9c44495a,2001-07-24,,999-97-3579,S99969516,,,Alysa236,Bartoletti50,,,,white,german,F,Minneapolis,928 Mohr Stravenue Apt 25 Empireship Minnesota  US,0
b6cfbe4c-666a-475d-865e-17d06d857e37,1954-03-02,2014-10-07,999-66-5022,S99977378,X28367307X,Mr.,Kent912,Stoltenberg489,,,S,white,italian,M,Alexandria,704 Rowe Station Swede Groveship Minnesota  US,0
702cd6e8-c34a-4a93-a431-7778dffb87f2,1969-03-13,,999-17-5314,S99947092,X82491618X,Mr.,Moises22,Abernathy524,,,M,white,italian,M,Richfield,934 Aufderhar Neck Minneapolis Minnesota 55401 US,0
5fe0facc-bd0f-401c-8fa1-9728dbd5c7fc,1959-10-07,,999-54-1820,S99945727,X57274512X,Mrs.,Simona661,Sauer652,,Thiel172,M,white,italian,F,Glencoe,960 Fisher Flat Apt 94 Ramsey Minnesota 55303 US,1
d5fa0465-cd2d-491d-a68f-680cd47246d0,1967-01-17,,999-77-6036,S99938729,X54357035X,Mr.,Hai304,Howe413,,,S,white,irish,M,Chatfieldship,1066 Fadel Manor Minneapolis Minnesota 55401 US,0
d65be5c3-0488-4d38-9e4e-8d8f27b6cf84,1980-10-29,,999-81-6229,S99923858,X44222010X,Mr.,Barry322,Hirthe744,,,S,asian,chinese,M,Apple Valley,634 Kreiger Well Apt 16 Brooklyn Park Minnesota 55428 US,0
73326122-48ec-4cb2-b89c-3b6567d8264a,1952-05-30,,999-40-5578,S99911853,X4702325X,Mrs.,Bess947,McLaughlin530,,Rempel203,M,white,irish,F,East Chainship,151 Ferry Mews Willmar Minnesota 56201 US,0
175fd4ad-88ca-43a9-a127-6aa70177c692,1969-11-09,,999-81-1401,S99982507,X74469787X,Mr.,Miles206,White193,,,M,white,irish,M,Claremont,986 Luettgen Promenade Fridley Minnesota 55421 US,0
d5a61be3-243e-4956-ac84-f86f4281d371,1991-02-04,,999-92-4347,S99911597,X8809460X,Ms.,Avril120,Senger904,,,S,white,polish,F,Hopkins,1053 Walter Underpass Apt 43 Eagan Minnesota 55120 US,1
b1df6f7d-c911-4722-8069-fc043872b287,1965-08-01,2017-05-28,999-27-6917,S99989335,X16764725X,Mr.,Rolf983,Ratke343,,,M,white,english,M,Buffalo,222 Mosciski Street Mantorvilleship Minnesota  US,0
67d20439-79e7-433f-baac-495c05714b2a,1970-10-13,1982-12-21,999-90-6206,,,,Wm806,Rutherford999,,,,white,irish,M,Elk River,744 McKenzie Walk Frazee Minnesota 56544 US,0
f67df555-b6b4-4ad4-ad19-fefd0c37422c,1959-12-28,,999-60-7047,S99934229,X73027726X,Mr.,Garrett899,Barrows492,,,S,white,french,M,St. Paul,513 Welch Tunnel Unit 82 Owatonna Minnesota 55060 US,0
8687f554-e98f-4fd7-b0af-96613372e2a7,2008-01-19,,999-74-6342,,,,Lora418,Davis923,,,,white,english,F,Forest Lake,136 Auer Harbor Suite 87 Dunnship Minnesota  US,0
6de5a0f2-e40e-4744-8c0b-9e8914c4d399,2014-04-11,,999-20-8609,,,,Akiko835,Pfeffer420,,,,white,italian,F,Eagan,256 Daniel Crossroad Unit 73 Eagan Minnesota 55120 US,0
b0420034-c696-421e-bafe-cd48f89655df,1953-11-13,,999-10-1220,S99917808,X36496624X,Mr.,Sylvester827,McCullough561,,,M,white,french_canadian,M,Rochester,393 Schmidt Estate Swede Groveship Minnesota  US,0
98a74b40-6634-4578-8849-58530514c9cb,1982-06-27,,999-13-7061,S99947738,X82844598X,Mr.,Enoch803,Von197,,,S,white,english,M,Lakeville,1038 Ernser Path Mantorvilleship Minnesota  US,1
f56a3297-512c-4959-b4a1-deda7439143b,1964-11-21,,999-67-7030,S99952720,X68954573X,Mrs.,Margret280,Lang846,,Hayes766,M,white,english,F,Rosemount,986 Schuster Loaf Apt 40 Cottage Grove Minnesota 55016 US,1
da4adee2-52f5-4654-b289-1b03cdb1ed80,1957-04-24,,999-77-1994,S99911020,X9086568X,Ms.,Dong972,Barrows492,,,S,white,irish,F,St. Paul,387 Brown Knoll Apt 40 Brooklyn Park Minnesota 55428 US,1
4a978033-d74a-4d85-86b5-33e1605d0011,1986-06-08,,999-42-6491,S99970753,X18259846X,Mrs.,Alexandra16,Towne435,,Hand679,M,white,italian,F,Ham Lake,622 Thompson Park Unit 95 Dunnship Minnesota  US,1
63433608-af6d-4a6c-85e5-bbd995f7607f,1936-09-23,2007-08-22,999-58-9921,S99977462,X12004305X,Mr.,Nick779,Sipes176,,,M,white,portuguese,M,Worthington,629 Willms Extension Frazee Minnesota 56544 US,0
8b03ff3c-5fd9-42d5-9dbe-08fa32507168,1965-05-07,,999-39-9988,S99913056,X65723975X,Mr.,Hunter736,Parker433,,,S,hispanic,south_american,M,Eyota,562 Carter Mews Waseca Minnesota 56093 US,1
36dc2088-bf2d-4dfb-8420-34ff973f99bb,1979-12-01,,999-85-5184,S99910666,X88431192X,Mr.,Markus389,Klocko335,,,S,white,italian,M,West St. Paul,567 Cartwright Walk Apt 37 Minneapolis Minnesota 55401 US,1
5b07cda9-27d7-48a0-a9bb-d51d79a8cb5a,1954-05-18,,999-53-7757,S99963866,X58348535X,Mr.,Tracey100,Reynolds644,,,S,native,american_indian,M,Luverne,948 Grant Vale Stonehamship Minnesota  US,0
1d7d9464-166d-46d9-8110-08ba19dfca2c,1951-09-07,,999-30-5066,S99965923,X89441862X,Mrs.,Marta91,Fierro365,,Cisneros174,M,hispanic,puerto_rican,F,Pokegamaship,593 Hamill Mission Apt 29 Waseca Minnesota 56093 US,0
2b8ad170-28f6-4599-9058-76eb1454d03c,1931-10-30,2002-12-06,999-35-5505,S99918377,X33399642X,Mrs.,Syble581,Bernier607,JD,Rogahn59,M,asian,chinese,F,Chisago Lakeship,917 Huel Dale St. Paul Minnesota 55101 US,0
0771478a-75e0-4075-a277-789e6e8e937a,1981-08-06,,999-95-6409,S99985495,X66819680X,Mr.,Michel472,Leuschke194,,,S,white,french_canadian,M,Elmore,544 Mosciski Burg Unit 86 Frazee Minnesota 56544 US,1
021a0d01-a881-4de0-8201-43a03909cfcf,1955-04-08,,999-44-4840,S99975076,X73098945X,Mrs.,Erica194,McClure239,,Stiedemann542,M,white,american,F,St. Paul,241 Schmitt Track Minneapolis Minnesota 55401 US,0
6b922c16-52d1-48a7-b699-aec608ebbbcf,1973-08-04,2011-11-26,999-58-5534,S99910902,X18443119X,Mr.,Norberto865,Marquardt819,,,M,white,italian,M,Vadnais Heights,513 O'Reilly Trail Suite 39 Lynd Minnesota 56157 US,0
609398d5-ed8e-44f3-bc1d-ccf4cb04ef78,1985-11-24,,999-34-8084,S99999876,X47390386X,Ms.,Sandie760,Douglas31,,,S,white,italian,F,Roseville,747 Emmerich Orchard Apt 42 New Hope Minnesota 55427 US,0
cdc0d91e-8f8c-4c92-8e7e-8a9cc7d9ee4d,1972-03-02,,999-24-1719,S99952528,X86868259X,Mr.,Frances376,Stroman228,,,M,white,portuguese,M,St. Cloud,126 Nienow Rest Suite 6 Rushsebaship Minnesota  US,0
4e46c557-2fb4-43aa-8cf3-02e01fb550c4,1953-07-30,,999-87-5291,S99978075,X39563396X,Mr.,Arturo47,Schneider199,,,M,white,irish,M,Mountain Iron,557 Larkin Gateway Forest Lake Minnesota 55025 US,0
e6f3e304-a238-4ab6-87c3-bacd55b27dd2,1948-02-15,,999-21-9255,S99992885,X64792354X,Mr.,Berry486,Green467,,,M,white,irish,M,Crystal,119 Simonis Frontage road Suite 87 Plymouth Minnesota 55441 US,1
5155d991-3925-49de-a45c-0b43b72f7a9e,1969-12-08,,999-41-2598,S99915331,X41240686X,Mr.,Brain142,Crona259,,,M,white,american,M,Waconia,446 Murray Port Lynd Minnesota 56157 US,0
781354ba-ad6e-4dcc-8a76-530f36175854,1960-12-22,,999-56-8578,S99959092,X88647051X,Mrs.,Melba931,Langworth352,,Block661,M,white,italian,F,Silver Brookship,331 Orn Corner Grand Lakeship Minnesota  US,0
facce484-bf12-4916-8a91-f78d047cab74,1966-04-05,,999-10-1427,S99936453,X15971692X,Mr.,Jerónimo599,Torres807,,,S,black,west_indian,M,Minneapolis,110 Konopelski Drive Stewartville Minnesota 55976 US,0
18029edf-0ae2-4457-a067-c5bb67169c81,1990-07-05,,999-44-4469,S99953963,X56830545X,Mrs.,Bong390,Abbott774,,Quitzon246,M,white,german,F,Diamond Lakeship,872 Turner Glen Apt 70 Bloomington Minnesota 55420 US,1
3c476174-b7ad-4659-846c-9c0b4e5a1a49,1940-07-28,,999-16-9970,S99956663,X18588786X,Mrs.,Deborah357,Shanahan202,,Lubowitz58,M,white,irish,F,Hallock,540 Kovacek Trail Unit 73 St. Paul Minnesota 55101 US,0
7016b6da-7f1c-4892-90d6-a09dea31660f,2004-12-28,,999-26-1547,,,,Fidel864,Lehner980,,,,white,swedish,M,Eagan,878 Gaylord Way Apt 68 Minnetonka Minnesota 55305 US,0
d8535ce1-b8d8-48f0-a028-09a0300e9dbe,1998-04-06,,999-82-3437,S99980198,X20337874X,Mr.,Dominick530,Johnson679,,,,white,swedish,M,St. Louis Park,961 Kutch Knoll Rochester Minnesota 55901 US,0
31e8299f-6ac5-4383-b87a-82948558fa3c,2015-03-10,,999-96-2486,,,,Kimberly627,Larkin917,,,,white,irish,F,Ham Lake,302 Jakubowski Trailer Bloomington Minnesota 55420 US,0
4f5f369c-538a-4330-8b50-40d835f6b139,1973-06-07,,999-64-4503,S99971350,X51837636X,Mr.,Nestor901,O'Reilly797,,,M,white,american,M,St. Paul,1072 Kreiger Lodge Cloquet Minnesota 55720 US,1
169de560-207a-48c4-a8da-be6263d650e1,1984-06-09,,999-19-3892,S99928792,X86660622X,Mrs.,Alexandra16,West559,,Hahn503,M,white,german,F,North St. Paul,750 Herzog Track Unit 95 Lakeville Minnesota 55024 US,1
f6fbb7aa-fce7-41ed-84aa-9c16a80c13f6,1990-11-07,,999-12-4871,S99973304,X5344751X,Mr.,Carmen818,Bauch723,,,S,white,swedish,M,Robbinsdale,276 Hayes Vista Ramsey Minnesota 55303 US,0
1b7dcdbb-8831-4ec1-82da-8fc2ea66bf7e,1982-05-09,,999-82-5708,S99995034,X86846474X,Mr.,Mohammad578,Schaefer657,,,M,white,italian,M,Winthrop,257 Goodwin Camp Apt 97 Big Lakeship Minnesota  US,0
7d59c4e3-2614-4c41-b149-97dc1f064e74,1997-05-31,,999-42-4019,S99937636,X66656501X,Mr.,Augustus49,Hudson301,,,,black,african,M,Shingobeeship,890 Cassin Overpass Waite Park Minnesota 56301 US,1
61de3c22-030f-403c-a62e-a0897bd00612,1967-04-18,,999-60-5823,S99925550,X63569018X,Mr.,Fabian647,Will178,,,M,white,irish,M,Minneapolis,405 Simonis Haven Apt 43 Plymouth Minnesota 55441 US,0
4a8db971-e4ae-4f3a-a177-404148d13981,2004-11-11,,999-32-8468,,,,Graig740,Nikolaus26,,,,white,irish,M,Marshall,680 Lang Well Apt 66 Minneapolis Minnesota 55401 US,0
74e47d7f-04c4-4ed5-a74d-4f50e8002886,2009-11-30,,999-14-2671,,,,Otha286,Lindgren255,,,,white,irish,F,Big Lake,680 Frami Dam Credit Rivership Minnesota  US,0
a5f7756a-5d6b-45a4-adbe-f6d6180de91a,2006-05-23,,999-65-3468,,,,Kirstin394,Harris789,,,,white,italian,F,Otsego,186 Renner Landing Unit 9 Eden Prairie Minnesota 55344 US,0
